Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13t04.csv,,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure by character, state and type of government, fiscal 2013",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure by character, state and type of government, fiscal 2013",,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,,,Direct expenditure,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,
State and type of government,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total/a,Total,Direct current,Capital outlay,Intergovernmental expenditure,State and type of government
,,,,,,,,,,,,,,,,,,,,,
"States-local, total",214548253,214548253,206791021,7757232,,98982282,98982282,95102928,3879354,0,42556541,42556541,41162639,1393902,0,73009430,73009430,70525454,2483976,0,"States-local, total"
State,85752497,80126962,77311375,2815587,5625535,15106964,13521647,12798465,723182,1585317,22038038,20512725,19765965,746760,1525313,48607495,46092590,44746945,1345645,2514905,State
"Local, total",134593465,134421291,129479646,4941645,172174,85472994,85460635,82304463,3156172,12359,22083586,22043816,21396674,647142,39770,27036885,26916840,25778509,1138331,120045,"Local, total"
Counties,68064870,65898828,63494979,2403849,2166042,26484730,26344125,25214800,1129325,140605,17664374,16872627,16419688,452939,791747,23915766,22682076,21860491,821585,1233690,Counties
Municipalities,65408002,63494239,61090980,2403259,1913763,55774699,54840646,52931901,1908745,934053,5110161,4790926,4599352,191574,319235,4523142,3862667,3559727,302940,660475,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Alabama,2292859,2292859,2239563,53296,,1185370,1185370,1156522,28848,0,408583,408583,404686,3897,0,698906,698906,678355,20551,0,Alabama
State,974081,907630,887997,19633,66451,160779,139366,132635,6731,21413,280219,276324,274175,2149,3895,533083,491940,481187,10753,41143,State
