Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee13t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2013",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2013",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
State and type of government,Population 2013 thousands,Total direct expenditure/a,Amount,Percent of total direct expenditure/b,Amount,Percent of total justice system,Amount,Percent of total justice system,Amount,Percent of total justice system
"States-local, total",316205,3174126510,214548253,6.8,98982282,46.1,42556541,19.8,73009430,34
State,-,1516450703,80126962,5.3,13521647,16.9,20512725,25.6,46092590,57.5
"Local, total",-,1657675807,134421291,8.1,85460635,63.6,22043816,16.4,26916840,20
Counties,-,362918880,65898828,18.2,26344125,40,16872627,25.6,22682076,34.4
Municipalities,-,505407274,63494239,12.6,54840646,86.4,4790926,7.5,3862667,6.1
,,,,,,,,,,
Alabama,4829,42749808,2292859,5.4,1185370,51.7,408583,17.8,698906,30.5
State,-,21727685,907630,4.2,139366,15.4,276324,30.4,491940,54.2
"Local, total",-,21022123,1385229,6.6,1046004,75.5,132259,9.5,206966,14.9
Counties,-,2181295,607696,27.9,350534,57.7,70906,11.7,186256,30.6
Municipalities,-,6220144,777529,12.5,695470,89.4,61353,7.9,20706,2.7
,,,,,,,,,,
Alaska,737,15561567,954603,6.1,378220,39.6,236417,24.8,339966,35.6
State,-,10182567,692775,6.8,140109,20.2,217432,31.4,335234,48.4
"Local, total",-,5379000,261828,4.9,238111,90.9,18985,7.3,4732,1.8
Boroughs,-,2089444,31182,1.5,17628,56.5,12910,41.4,644,2.1
Municipalities,-,3078303,230646,7.5,220483,95.6,6075,2.6,4088,1.8
,,,,,,,,,,
Arizona,6625,52261144,4718515,9,2090929,44.3,982798,20.8,1644788,34.9
State,-,24887639,1384346,5.6,220146,15.9,176613,12.8,987587,71.3
"Local, total",-,27373505,3334169,12.2,1870783,56.1,806185,24.2,657201,19.7
Counties,-,3897014,1737094,44.6,441157,25.4,647484,37.3,648453,37.3
Municipalities,-,9186245,1597075,17.4,1429626,89.5,158701,9.9,8748,0.5
,,,,,,,,,,
Arkansas,2959,24374405,1397362,5.7,648469,46.4,193427,13.8,555466,39.8
State,-,14584692,630473,4.3,108618,17.2,118433,18.8,403422,64
"Local, total",-,9789713,766889,7.8,539851,70.4,74994,9.8,152044,19.8
Counties,-,1079032,349258,32.4,152942,43.8,46690,13.4,149626,42.8
Municipalities,-,3183661,417631,13.1,386909,92.6,28304,6.8,2418,0.6
,,,,,,,,,,
California,38335,454093683,36308538,8,15100456,41.6,8153189,22.5,13054893,36
State,-,188503030,12832771,6.8,1580444,12.3,3594903,28,7657424,59.7
"Local, total",-,265590653,23475767,8.8,13520012,57.6,4558286,19.4,5397469,23
Counties,-,66338061,13785081,20.8,4354039,31.6,4200483,30.5,5230559,37.9
Municipalities,-,67080560,9690554,14.4,9165841,94.6,357803,3.7,166910,1.7
,,,,,,,,,,
Colorado,5268,50394249,3546311,7,1674230,47.2,685089,19.3,1186992,33.5
State,-,22452523,1421874,6.3,154567,10.9,424731,29.9,842576,59.3
"Local, total",-,27941726,2124437,7.6,1519663,71.5,260358,12.3,344416,16.2
Counties,-,3709047,870324,23.5,511262,58.7,131506,15.1,227556,26.1
Municipalities,-,9359460,1253492,13.4,1008401,80.4,128231,10.2,116860,9.3
,,,,,,,,,,
Connecticut,3596,41794632,2510098,6,1144289,45.6,706836,28.2,658973,26.3
State,-,24395625,1555722,6.4,232499,14.9,664250,42.7,658973,42.4
"Local, total",-,17399007,954376,5.5,911790,95.5,42586,4.5,0,0
Municipalities,-,6332765,487858,7.7,465621,95.4,22237,4.6,0,0
,,,,,,,,,,
Delaware,925,10686283,810799,7.6,320274,39.5,208510,25.7,282015,34.8
State,-,7376891,600739,8.1,126436,21,192288,32,282015,46.9
"Local, total",-,3309392,210060,6.3,193838,92.3,16222,7.7,0,0
Counties,-,431816,83690,19.4,74089,88.5,9601,11.5,0,0
Municipalities,-,652410,126370,19.4,119749,94.8,6621,5.2,0,0
,,,,,,,,,,
District of Columbia,649,14954319,925602,6.2,559765,60.5,114838,12.4,250999,27.1
"Local, total",-,14954319,925602,6.2,559765,60.5,114838,12.4,250999,27.1
Municipality,-,11889047,925602,7.8,559765,60.5,114838,12.4,250999,27.1
,,,,,,,,,,
