Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13t12.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,Capital outlay,,
,,,Direct expenditure,,,,,Direct expenditure,,, ,,Direct expenditure,,, ,,Direct expenditure,,,, ,
County,Fiscal year ends in month of,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Total,Construction only,Total,County
,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",6,500210,500210,491226,8984,-,110316,110316,107375,2941,-,178817,178817,173541,5276,-,211077,211077,210310,767,-,-,"Alameda, CA"
"Allegheny, PA",12,233441,233441,233068,373,-,55791,55791,55724,67,-,86180,86180,86018,162,-,91470,91470,91326,144,-,-,"Allegheny, PA"
"Baltimore, MD",6,252772,252772,252704,68,-,197217,197217,197193,24,-,20526,20526,20520,6,-,35029,35029,34991,38,-,-,"Baltimore, MD"
"Bergen, NJ",12,116336,116336,110095,6241,-,35098,35098,34898,200,-,33371,33371,33371,-,-,47867,47867,41826,6041,6041,-,"Bergen, NJ"
"Bexar, TX",9,260002,260002,251623,8379,-,63606,63606,60907,2699,-,94209,94209,89015,5194,-,102187,102187,101701,486,479,-,"Bexar, TX"
"Broward, FL",9,644999,644999,614657,30342,-,374410,374410,346996,27414,-,57215,57215,56467,748,-,213374,213374,211194,2180,855,-,"Broward, FL"
"Clark, NV",6,1019532,1019532,994258,25274,-,587282,587282,569348,17934,-,201956,201956,196543,5413,-,230294,230294,228367,1927,-,-,"Clark, NV"
,,,,,,,,,,,,,,,,,,,,,,,
"Contra Costa, CA",6,301671,301671,299309,2362,-,99385,99385,97964,1421,-,94298,94298,93562,736,-,107988,107988,107783,205,-,-,"Contra Costa, CA"
"Cook, IL",11,1160240,1160240,1155364,4876,-,103440,103440,103440,-,-,623273,623273,619533,3740,-,433527,433527,432391,1136,1136,-,"Cook, IL"
"Cuyahoga, OH",12,326498,326189,321008,5181,309,53744,53744,50086,3658,-,183586,183586,182063,1523,-,89168,88859,88859,-,-,309,"Cuyahoga, OH"
"Dade, FL",9,975450,975448,924919,50529,2,509374,509374,498393,10981,-,180483,180481,146233,34248,2,285593,285593,280293,5300,4585,-,"Dade, FL"
"Dallas, TX",9,251858,251858,251725,133,-,24088,24088,24088,-,-,109322,109322,109319,3,-,118448,118448,118318,130,-,-,"Dallas, TX"
"DeKalb, GA",12,217638,217638,214667,2971,-,103539,103539,100691,2848,-,61720,61720,61604,116,-,52379,52379,52372,7,-,-,"DeKalb, GA"
"Delaware, PA",12,108130,108130,108117,13,-,9994,9994,9994,-,-,49969,49969,49969,-,-,48167,48167,48154,13,-,-,"Delaware, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Du Page, IL",11,88013,88013,85240,2773,-,44005,44005,41539,2466,-,32609,32609,32609,-,-,11399,11399,11092,307,-,-,"Du Page, IL"
"Erie, NY",12,173773,173773,169847,3926,-,32302,32302,28725,3577,-,32443,32443,32284,159,-,109028,109028,108838,190,-,-,"Erie, NY"
"Essex, NJ",6,203752,203752,196182,7570,-,42806,42806,42806,-,-,36579,36579,36579,-,-,124367,124367,116797,7570,7500,-,"Essex, NJ"
"Fairfax, VA",6,314564,314564,290216,24348,-,218026,218026,193678,24348,-,34387,34387,34387,-,-,62151,62151,62151,-,-,-,"Fairfax, VA"
"Franklin, OH",12,206982,206982,205697,1285,-,39561,39561,38915,646,-,103841,103841,103780,61,-,63580,63580,63002,578,-,-,"Franklin, OH"
"Fresno, CA",6,315040,315040,308518,6522,-,82076,82076,80504,1572,-,90104,90104,85741,4363,-,142860,142860,142273,587,-,-,"Fresno, CA"
"Fulton, GA",12,253177,253177,247480,5697,-,49982,49982,48993,989,-,124084,124084,123708,376,-,79111,79111,74779,4332,-,-,"Fulton, GA"
,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton, OH",12,221151,221151,216556,4595,-,92485,92485,89616,2869,-,95645,95645,94017,1628,-,33021,33021,32923,98,98,-,"Hamilton, OH"
"Harris, TX",2,799861,799861,783892,15969,-,327112,327112,316285,10827,-,223696,223696,219791,3905,-,249053,249053,247816,1237,-,-,"Harris, TX"
"Hennepin, MN",12,252523,252523,242975,9548,-,90093,90093,81896,8197,-,67333,67333,67002,331,-,95097,95097,94077,1020,3,-,"Hennepin, MN"
"Hillsborough, FL",9,442749,441119,425685,15434,1630,221777,221777,211848,9929,-,76132,74502,70452,4050,1630,144840,144840,143385,1455,1200,-,"Hillsborough, FL"
"Hudson, NJ",12,123204,122671,109129,13542,533,23363,23363,23363,-,-,25295,25295,25295,-,-,74546,74013,60471,13542,13542,533,"Hudson, NJ"
"Jackson, MO",12,85135,85135,85135,-,-,27224,27224,27224,-,-,39974,39974,39974,-,-,17937,17937,17937,-,-,-,"Jackson, MO"
"Jefferson, AL",9,84318,84318,84318,-,-,30129,30129,30129,-,-,23114,23114,23114,-,-,31075,31075,31075,-,-,-,"Jefferson, AL"
,,,,,,,,,,,,,,,,,,,,,,,
"King, WA",12,496305,496305,493381,2924,-,149258,149258,147758,1500,-,193959,193959,193119,840,-,153088,153088,152504,584,550,-,"King, WA"
"Lake, IN",12,51484,51484,51484,-,-,12810,12810,12810,-,-,20513,20513,20513,-,-,18161,18161,18161,-,-,-,"Lake, IN"
"Los Angeles, CA",6,4329381,4329381,4234006,95375,-,1587524,1587524,1527159,60365,-,1211859,1211859,1210582,1277,-,1529998,1529998,1496265,33733,28895,-,"Los Angeles, CA"
"Macomb, MI",12,101103,101103,99961,1142,-,32361,32361,32205,156,-,39636,39636,39553,83,-,29106,29106,28203,903,93,-,"Macomb, MI"
"Maricopa, AZ",6,841847,841317,807270,34047,530,93498,92968,90283,2685,530,320844,320844,318477,2367,-,427505,427505,398510,28995,22962,-,"Maricopa, AZ"
"Middlesex, NJ",12,78248,78248,78248,-,-,21883,21883,21883,-,-,19315,19315,19315,-,-,37050,37050,37050,-,-,-,"Middlesex, NJ"
"Milwaukee, WI",12,224211,224211,223064,1147,-,35677,35677,35677,-,-,53627,53627,53627,-,-,134907,134907,133760,1147,1147,-,"Milwaukee, WI"
,,,,,,,,,,,,,,,,,,,,,,,
"Monmouth, NJ",12,96408,96408,96408,-,-,24577,24577,24577,-,-,24944,24944,24944,-,-,46887,46887,46887,-,-,-,"Monmouth, NJ"
