Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13t09.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,Capital outlay,,,
,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
State,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay, Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Total,Construct only,Intergovernmental expenditure,State
Total,85752497,80126962,77311375,2815587,5625535,15106964,13521647,12798465,723182,1585317,22038038,20512725,19765965,746760,1525313,48607495,46092590,44746945,1345645,932167,2514905,Total
,,,,,,,,,,,,,,,,,,,,,,
Alabama,974081,907630,887997,19633,66451,160779,139366,132635,6731,21413,280219,276324,274175,2149,3895,533083,491940,481187,10753,4085,41143,Alabama
Alaska,720059,692775,643820,48955,27284,166917,140109,123218,16891,26808,217908,217432,200886,16546,476,335234,335234,319716,15518,13656,0,Alaska
Arizona,1476366,1384346,1343660,40686,92020,232360,220146,201165,18981,12214,215278,176613,172681,3932,38665,1028728,987587,969814,17773,2608,41141,Arizona
Arkansas,631352,630473,629961,512,879,109098,108618,108615,3,480,118433,118433,117924,509,0,403821,403422,403422,0,0,399,Arkansas
California,13112606,12832771,12245949,586822,279835,1600910,1580444,1540016,40428,20466,3667069,3594903,3196779,398124,72166,7844627,7657424,7509154,148270,139446,187203,California
,,,,,,,,,,,,,,,,,,,,,,
Colorado,1576022,1421874,1356904,64970,154148,172792,154567,146227,8340,18225,427532,424731,376207,48524,2801,975698,842576,834470,8106,469,133122,Colorado
Connecticut,1566592,1555722,1520862,34860,10870,232639,232499,221527,10972,140,664253,664250,655405,8845,3,669700,658973,643930,15043,12044,10727,Connecticut
Delaware,603644,600739,589703,11036,2905,126436,126436,118869,7567,0,195193,192288,190682,1606,2905,282015,282015,280152,1863,0,0,Delaware
