Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee13t17.csv,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2013",,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,
,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2013",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,Sworn,,,,,,Nonsworn,,,,
,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,
City,Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls
"Albuquerque, NM",1039,1039,1039,70.6,7745,7454,517,361,433,29.4,2269
"Atlanta, GA",1969,1969,1969,83,8004,4065,403,403,403,17,1530
"Austin, TX",1700,1700,1700,73.5,14331,8430,714,583,612,26.5,2400
"Baltimore, MD",3124,3124,3124,83.9,19329,6187,797,402,599,16.1,1979
"Baton Rouge, LA",750,750,750,55.3,2835,3780,651,392,606,44.7,1839
"Boston, MA",2153,2153,2153,74.9,16566,7694,838,645,722,25.1,3200
,,,,,,,,,,,
"Buffalo, NY",718,718,718,84.2,5217,7266,135,135,135,15.8,713
"Charlotte, NC",1755,1733,1742,77.5,10423,5980,521,496,505,22.5,2136
"Chicago, IL",11804,11804,11804,91.3,79809,6761,1476,683,1124,8.7,4755
"Cincinnati, OH",982,982,982,85.8,5621,5724,214,123,162,14.2,539
"Cleveland, OH",1395,1387,1390,75.5,7887,5681,715,368,451,24.5,2050
"Columbus, OH",1897,1897,1897,85.7,12851,6774,322,311,316,14.3,1487
,,,,,,,,,,,
"Dallas, TX",3600,3597,3598,85.4,21161,5882,859,553,613,14.6,2165
"Denver, CO",1371,1371,1371,69.8,10945,7983,629,571,593,30.2,2773
"Detroit, MI",2777,2777,2777,87.7,18794,6768,390,390,390,12.3,2025
"El Paso, TX",1056,1056,1056,80.2,6667,6313,262,259,261,19.8,751
"Fort Worth, TX",1459,1459,1459,80.1,11078,7593,538,298,363,19.9,1271
"Honolulu, HI",2038,2038,2038,78.6,13674,6709,613,534,554,21.4,2114
,,,,,,,,,,,
"Houston, TX",5306,5306,5306,79.4,31941,6020,1374,1372,1373,20.6,4678
"Indianapolis, IN",1519,1519,1519,65.4,8698,5726,812,800,802,34.6,2414
"Jacksonville, FL",1577,1577,1577,75.9,8983,5696,711,408,500,24.1,1499
"Kansas City, MO",1347,1347,1347,68,3125,2320,634,634,634,32,1676
"Long Beach, CA",850,850,850,72.8,8718,10257,356,250,318,27.2,1729
"Los Angeles, CA",9973,9880,9922,77.3,85999,8688,2914,2913,2914,22.7,18608
,,,,,,,,,,,
"Memphis, TN",2360,2360,2360,78.3,12294,5209,699,409,653,21.7,2027
"Miami, FL",1028,988,1005,70.7,4929,4944,416,414,416,29.3,2286
"Milwaukee, WI",1890,1890,1890,78.4,11981,6339,680,449,522,21.6,1667
"Minneapolis, MN",865,865,865,71.4,5825,6734,347,347,347,28.6,1559
"Nashville, TN",1292,1291,1291,73.9,6588,5101,573,364,455,26.1,1447
"Newark, NJ",1013,1013,1013,83,7817,7717,268,146,207,17,598
,,,,,,,,,,,
"New Orleans, LA",1542,1542,1542,96.9,5935,3849,53,47,50,3.1,185
"New York, NY",48340,46233,47438,92.8,341900,7336,3730,3566,3659,7.2,26396
"Oakland, CA",609,609,609,60.5,7605,12487,444,333,397,39.5,2255
"Oklahoma City, OK",1023,1023,1023,77.3,7187,7025,408,265,300,22.7,1279
"Omaha, NE",824,788,808,83.7,5551,6954,165,140,157,16.3,597
"Philadelphia, PA",6528,6528,6528,85.8,43680,6691,1738,835,1084,14.2,4218
,,,,,,,,,,,
"Phoenix, AZ",2958,2958,2958,74.2,20389,6893,1044,1026,1031,25.8,4335
"Pittsburgh, PA",877,877,877,85.4,5926,6757,224,75,150,14.6,372
"Portland, OR",1183,1183,1183,74.6,7432,6282,403,403,403,25.4,2075
"St. Louis, MO",1322,1322,1322,70.3,5234,3959,559,557,558,29.7,2318
"San Antonio, TX",2316,2316,2316,77.6,14545,6280,856,620,668,22.4,2242
"San Diego, CA",1831,1831,1831,78.7,15286,8349,606,459,495,21.3,2778
,,,,,,,,,,,
"San Francisco, CA",3062,2593,2823,85.8,29295,10740,469,469,469,14.2,2893
"San Jose, CA",1100,1100,1100,76.1,11681,10619,475,297,345,23.9,1915
"Seattle, WA",1315,1312,1315,72.9,12008,9139,492,480,489,27.1,3057
"Toledo, OH",427,427,427,80.1,2097,4910,106,106,106,19.9,361
"Tucson, AZ",895,894,894,70.3,5232,5851,383,362,377,29.7,1757
"Tulsa, OK",776,776,776,84.4,4603,5931,178,127,143,15.6,451
"Washington, DC",3903,3903,3903,87.2,27509,7048,576,574,575,12.8,3354
Note: Payroll data shown here may not sum to equal police protection March payroll data in table 16 due to rounding.,,,,,,,,,,,
