Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13t16.csv,,,,,,,,,,,,,,,,,,,,,
"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 2013",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 16.  Justice system employment and payrolls of 49 large city governments by activity, March 2013",,,,,,,,,,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,Employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,,
City,Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),City
,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",1614,1455,1528,10385,7014,1556,1400,1472,10014,7026,58,55,56,371,6694,0,0,0,0,-,"Albuquerque, NM"
"Atlanta, GA",2886,2884,2886,11694,4053,2372,2372,2372,9534,4019,234,232,234,1188,5101,280,280,280,971,3469,"Atlanta, GA"
"Austin, TX",2674,2525,2559,17922,7056,2414,2283,2312,16731,7295,260,242,247,1191,4802,0,0,0,0,-,"Austin, TX"
"Baltimore, MD",4588,4183,4386,24667,5799,3921,3526,3723,21308,5937,667,657,663,3358,5059,0,0,0,0,-,"Baltimore, MD"
"Baton Rouge, LA",2523,2001,2365,8679,4013,1401,1142,1356,4674,3820,821,558,708,2670,4181,301,301,301,1335,4435,"Baton Rouge, LA"
"Boston, MA",3039,2846,2923,20060,6975,2991,2798,2875,19766,6989,48,48,48,294,6128,0,0,0,0,-,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY",882,882,882,6082,6896,853,853,853,5930,6952,29,29,29,152,5228,0,0,0,0,-,"Buffalo, NY"
"Charlotte, NC",2302,2254,2272,12768,5603,2276,2229,2247,12559,5574,26,25,25,209,8165,0,0,0,0,-,"Charlotte, NC"
"Chicago, IL",13787,12994,13435,87650,6642,13280,12487,12928,84564,6665,507,507,507,3086,6087,0,0,0,0,-,"Chicago, IL"
"Cincinnati, OH",1263,1172,1211,6552,5522,1196,1105,1144,6160,5503,67,67,67,392,5845,0,0,0,0,-,"Cincinnati, OH"
"Cleveland, OH",2800,2413,2515,12655,5155,2110,1755,1841,9937,5562,548,525,535,2165,4075,142,133,139,553,4033,"Cleveland, OH"
"Columbus, OH",2739,2690,2715,16369,6056,2219,2208,2213,14338,6487,461,423,443,1726,3928,59,59,59,305,5165,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",4650,4326,4389,24444,5618,4459,4150,4211,23326,5593,191,176,178,1118,6218,0,0,0,0,-,"Dallas, TX"
"Denver, CO",3378,3279,3325,22219,6710,2000,1942,1964,13718,7024,636,595,619,3807,6164,742,742,742,4694,6326,"Denver, CO"
"Detroit, MI",3780,3780,3780,23985,6345,3167,3167,3167,20819,6574,613,613,613,3166,5165,0,0,0,0,-,"Detroit, MI"
"El Paso, TX",1370,1359,1365,7694,5649,1318,1315,1317,7418,5639,52,44,48,276,5950,0,0,0,0,-,"El Paso, TX"
"Fort Worth, TX",2234,1983,2056,13409,6686,1997,1757,1822,12349,6958,237,226,234,1060,4568,0,0,0,0,-,"Fort Worth, TX"
"Honolulu, HI",2969,2882,2908,17360,5993,2651,2572,2592,15788,6110,318,310,316,1572,5027,0,0,0,0,-,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",7214,7149,7182,39189,5451,6680,6678,6679,36618,5483,534,471,503,2571,5004,0,0,0,0,-,"Houston, TX"
"Indianapolis, IN",4352,4336,4341,17915,4129,2331,2319,2321,11112,4790,1135,1132,1134,3882,3423,886,885,886,2922,3300,"Indianapolis, IN"
"Jacksonville, FL",3408,2891,3181,14589,4801,2288,1985,2077,10483,5185,362,148,346,1217,4719,758,758,758,2889,3811,"Jacksonville, FL"
"Kansas City, MO",2047,2047,2047,4990,2438,1981,1981,1981,4801,2424,66,66,66,189,2861,0,0,0,0,-,"Kansas City, MO"
"Long Beach, CA",1305,1195,1265,11202,9112,1206,1100,1168,10447,9225,99,95,97,755,7806,0,0,0,0,-,"Long Beach, CA"
"Los Angeles, CA",13730,13624,13673,112460,8237,12887,12793,12836,104607,8164,843,831,837,7853,9363,0,0,0,0,-,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",3198,2891,3143,14910,4936,3059,2769,3013,14320,4950,139,122,130,590,4631,0,0,0,0,-,"Memphis, TN"
"Miami, FL",1485,1443,1462,7513,5172,1444,1402,1421,7216,5111,41,41,41,297,7253,0,0,0,0,-,"Miami, FL"
"Milwaukee, WI",2666,2428,2504,14226,5780,2570,2339,2412,13648,5763,96,89,92,578,6225,0,0,0,0,-,"Milwaukee, WI"
"Minneapolis, MN",1313,1313,1313,8033,6118,1212,1212,1212,7384,6092,101,101,101,649,6422,0,0,0,0,-,"Minneapolis, MN"
"Nashville, TN",3479,3172,3306,14093,4334,1865,1655,1746,8035,4742,684,647,665,2837,4288,930,870,895,3221,3592,"Nashville, TN"
"Newark, NJ",1418,1296,1357,9046,6873,1281,1159,1220,8415,7142,137,137,137,630,4601,0,0,0,0,-,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",2716,2632,2686,10042,3767,1595,1589,1592,6120,3849,372,331,362,1257,3588,749,712,732,2665,3666,"New Orleans, LA"
"New York, NY",69266,66682,68175,487037,7244,52070,49799,51097,368295,7336,5620,5376,5522,32634,5932,11576,11507,11556,86107,7460,"New York, NY"
"Oakland, CA",1111,1000,1064,10382,10149,1053,942,1006,9860,10219,58,58,58,522,9006,0,0,0,0,-,"Oakland, CA"
"Oklahoma City, OK",1526,1382,1418,8880,6360,1431,1288,1323,8466,6504,66,65,66,279,4275,29,29,29,135,4665,"Oklahoma City, OK"
"Omaha, NE",1024,961,1000,6386,6507,989,928,965,6149,6490,35,33,35,238,6994,0,0,0,0,-,"Omaha, NE"
"Philadelphia, PA",13917,12996,13251,74835,5674,8266,7363,7612,47898,6362,3206,3188,3194,15042,4706,2445,2445,2445,11895,4865,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",4503,4461,4481,27379,6115,4002,3984,3989,24723,6202,501,477,492,2655,5391,0,0,0,0,-,"Phoenix, AZ"
"Pittsburgh, PA",1145,988,1068,6427,6324,1101,952,1027,6298,6440,44,36,41,129,3268,0,0,0,0,-,"Pittsburgh, PA"
"Portland, OR",1644,1635,1641,9979,6065,1586,1586,1586,9507,5994,58,49,55,472,8339,0,0,0,0,-,"Portland, OR"
"St. Louis, MO",2950,2943,2947,12306,4176,1881,1879,1880,7551,4016,628,624,626,2992,4780,441,440,441,1762,4000,"St. Louis, MO"
"San Antonio, TX",3384,3143,3194,17777,5623,3172,2936,2984,16787,5686,212,207,210,990,4727,0,0,0,0,-,"San Antonio, TX"
"San Diego, CA",2771,2605,2648,20347,7731,2437,2290,2326,18064,7820,334,315,322,2283,7079,0,0,0,0,-,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",6008,5434,5724,53145,9464,3531,3062,3292,32188,10040,898,871,889,8469,9583,1579,1501,1543,12488,8221,"San Francisco, CA"
"San Jose, CA",1649,1466,1517,14278,9629,1575,1397,1445,13596,9630,74,69,72,682,9612,0,0,0,0,-,"San Jose, CA"
"Seattle, WA",2193,2116,2174,17417,8090,1807,1792,1804,15065,8371,347,291,332,2113,6545,39,33,38,239,6443,"Seattle, WA"
"Toledo, OH",792,768,773,3309,4286,533,533,533,2458,4612,259,235,240,851,3548,0,0,0,0,-,"Toledo, OH"
"Tucson, AZ",1498,1470,1487,7938,5356,1278,1256,1271,6988,5525,220,214,216,950,4363,0,0,0,0,-,"Tucson, AZ"
"Tulsa, OK",1029,973,990,5416,5533,954,903,919,5054,5570,75,70,71,362,5051,0,0,0,0,-,"Tulsa, OK"
"Washington, DC",7979,7928,7966,55980,7033,4479,4477,4478,30864,6893,2176,2153,2168,17795,8210,1324,1298,1320,7322,5565,"Washington, DC"
