Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13t11.csv,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2013",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of state governments by activity, March 2013",,,,,,,,,,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,Employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,,
State,Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees Full-time equivalent (dollars),
Total,732213,703095,716141,3382938,4725,101971,99154,100242,564336,5648,178004,168705,173332,931771,5389,452238,435236,442567,1886831,4257,Total
,,,,,,,,,,,,,,,,,,,,,
Alabama,9750,9408,9637,35602,3719,1389,1389,1389,5235,3769,3388,3145,3316,14303,4414,4973,4874,4932,16064,3256,Alabama
Alaska,4338,4182,4263,25210,5947,691,658,671,4343,6543,1526,1471,1497,9288,6212,2121,2053,2095,11579,5567,Alaska
