Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13t13.csv,,,,,,,,,,,,,,,,,,,,,
"Table 13. Justice system employment and payrolls of 68 large county governments by activity, March 2013",,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 13. Justice system employment and payrolls of 68 large county governments by activity, March 2013",,,,,,,,,,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,Employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,,
County,Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees Full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees full-time equivalent (dollars),County
,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",2634,2585,2620,21335,8174,1513,1498,1508,12423,8251,557,530,551,5159,9495,564,557,561,3753,6708,"Alameda, CA"
"Allegheny, PA",3062,2961,2993,13204,4430,536,536,536,3223,6013,1778,1778,1778,6787,3817,748,647,679,3194,4805,"Allegheny, PA"
"Baltimore, MD",3584,3214,3347,16821,5126,2701,2382,2481,13378,5519,402,374,389,1719,4431,481,458,477,1724,3648,"Baltimore, MD"
"Bergen, NJ",552,532,543,4579,8466,243,232,236,1839,7760,33,24,31,158,5059,276,276,276,2582,9355,"Bergen, NJ"
"Bexar, TX",4040,3980,4008,14873,3721,778,776,777,3303,4253,1222,1177,1198,4755,4001,2040,2027,2033,6815,3356,"Bexar, TX"
"Broward, FL",4812,4738,4786,24352,5109,2582,2539,2567,14406,5639,1125,1094,1114,3738,3366,1105,1105,1105,6207,5618,"Broward, FL"
"Clark, NV",7129,6423,6608,43041,6593,4603,4043,4127,27180,6637,1491,1345,1446,9164,6556,1035,1035,1035,6697,6470,"Clark, NV"
,,,,,,,,,,,,,,,,,,,,,
"Contra Costa, CA",1642,1631,1637,12341,7542,916,911,913,7035,7710,408,404,406,3262,8014,318,316,318,2045,6452,"Contra Costa, CA"
"Cook, IL",13865,13817,13822,73218,5298,808,760,765,4958,6506,6924,6924,6924,35836,5176,6133,6133,6133,32424,5287,"Cook, IL"
"Cuyahoga, OH",2958,2958,2958,11619,3928,589,589,589,2487,4222,1522,1522,1522,5807,3815,847,847,847,3325,3926,"Cuyahoga, OH"
"Dade, FL",9162,8583,8878,53956,6204,4579,4027,4304,29899,7266,1733,1709,1724,8069,4685,2850,2847,2850,15988,5614,"Dade, FL"
"Dallas, TX",5237,5027,5152,20172,3932,697,696,697,2988,4290,1603,1507,1573,7223,4624,2937,2824,2882,9961,3474,"Dallas, TX"
"DeKalb, GA",2851,2848,2850,12002,4212,1361,1358,1360,5755,4234,968,968,968,4422,4568,522,522,522,1825,3496,"DeKalb, GA"
