Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13t15.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditures of 49 large city governments by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditures of 49 large city governments by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars.),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,Capital outlay,,
,,,Direct expenditure,,,,,Direct expenditure,,, ,,Direct expenditure,,, ,,Direct expenditure,,,Direct expenditure, ,
County,Fiscal year ends in month of,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total,Direct current,Total,Construction only,Total,County
"Albuquerque, NM",6,163375,163375,163375,0,0,159063,159063,159063,0,0,4312,4312,4312,0,0,0,0,0,0,0,0,"Albuquerque, NM"
"Atlanta, GA",6,191447,191447,190662,785,0,153131,153131,152391,740,0,13023,13023,12978,45,0,25293,25293,25293,0,0,0,"Atlanta, GA"
"Austin, TX",9,305733,305733,296833,8900,0,277223,277223,268377,8846,0,28510,28510,28456,54,0,0,0,0,0,0,0,"Austin, TX"
"Baltimore, MD",6,463256,463256,463256,0,0,409688,409688,409688,0,0,53568,53568,53568,0,0,0,0,0,0,0,0,"Baltimore, MD"
"Baton Rouge, LA",12,254999,247872,232551,15321,7127,139505,139505,127183,12322,0,72499,65372,63936,1436,7127,42995,42995,41432,1563,0,0,"Baton Rouge, LA"
"Boston, MA",6,326346,326346,320762,5584,0,321048,321048,315480,5568,0,5298,5298,5282,16,0,0,0,0,0,0,0,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY",6,83757,83757,80349,3408,0,80508,80508,77100,3408,0,3249,3249,3249,0,0,0,0,0,0,0,0,"Buffalo, NY"
"Charlotte, NC",6,267797,266574,249770,16804,1223,265547,264324,247528,16796,1223,2250,2250,2242,8,0,0,0,0,0,0,0,"Charlotte, NC"
"Chicago, IL",12,1446856,1446856,1400396,46460,0,1407390,1407390,1360930,46460,0,39466,39466,39466,0,0,0,0,0,0,0,0,"Chicago, IL"
"Cincinnati, OH",6,118878,118878,116871,2007,0,114192,114192,112275,1917,0,4686,4686,4596,90,0,0,0,0,0,0,0,"Cincinnati, OH"
"Cleveland, OH",12,233352,233138,233120,18,214,174303,174303,174285,18,0,45753,45753,45753,0,0,13296,13082,13082,0,0,214,"Cleveland, OH"
"Columbus, OH",12,311092,309960,289488,20472,1132,270585,270585,250291,20294,0,36731,36731,36553,178,0,3776,2644,2644,0,0,1132,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",9,391623,383771,367640,16131,7852,353728,353728,344642,9086,0,28886,28886,21841,7045,0,9009,1157,1157,0,0,7852,"Dallas, TX"
"Denver, CO",12,373668,373668,373668,0,0,198405,198405,198405,0,0,66557,66557,66557,0,0,108706,108706,108706,0,0,0,"Denver, CO"
"Detroit, MI",6,520258,520258,478691,41567,0,479138,479138,437571,41567,0,41120,41120,41120,0,0,0,0,0,0,0,0,"Detroit, MI"
"El Paso, TX",8,131834,131834,131834,0,0,126782,126782,126782,0,0,5052,5052,5052,0,0,0,0,0,0,0,0,"El Paso, TX"
"Fort Worth, TX",9,261184,261184,258890,2294,0,238152,238152,235858,2294,0,23032,23032,23032,0,0,0,0,0,0,0,0,"Fort Worth, TX"
"Honolulu, HI",6,259234,259234,251491,7743,0,235507,235507,227852,7655,0,23727,23727,23639,88,0,0,0,0,0,0,0,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",6,684381,684381,671937,12444,0,639114,639114,626768,12346,0,45267,45267,45169,98,0,0,0,0,0,0,0,"Houston, TX"
"Indianapolis, IN",12,394949,394949,380431,14518,0,189815,189815,187846,1969,0,93504,93504,93008,496,0,111630,111630,99577,12053,0,0,"Indianapolis, IN"
"Jacksonville, FL",9,368134,366732,361253,5479,1402,286361,285272,280742,4530,1089,27118,27107,26158,949,11,54655,54353,54353,0,0,302,"Jacksonville, FL"
"Kansas City, MO",4,220068,214368,214305,63,5700,199452,199452,199389,63,0,14916,14916,14916,0,0,5700,0,0,0,0,5700,"Kansas City, MO"
"Long Beach, CA",6,203598,203598,200075,3523,0,203598,203598,200075,3523,0,0,0,0,0,0,0,0,0,0,0,0,"Long Beach, CA"
"Los Angeles, CA",6,1816832,1816832,1781167,35665,0,1733971,1733971,1698306,35665,0,82861,82861,82861,0,0,0,0,0,0,0,0,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",6,254296,254296,253129,1167,0,235711,235711,234568,1143,0,18585,18585,18561,24,0,0,0,0,0,0,0,"Memphis, TN"
"Miami, FL",9,138084,138084,135609,2475,0,133820,133820,131345,2475,0,4264,4264,4264,0,0,0,0,0,0,0,0,"Miami, FL"
"Milwaukee, WI",12,275421,275421,271816,3605,0,253879,253879,250274,3605,0,16634,16634,16634,0,0,4908,4908,4908,0,0,0,"Milwaukee, WI"
"Minneapolis, MN",12,146452,146452,146452,0,0,138600,138600,138600,0,0,7852,7852,7852,0,0,0,0,0,0,0,0,"Minneapolis, MN"
"Nashville, TN",6,360436,360436,337558,22878,0,238960,238960,218638,20322,0,58259,58259,55703,2556,0,63217,63217,63217,0,0,0,"Nashville, TN"
"Newark, NJ",12,148303,148303,147772,531,0,137951,137951,137425,526,0,10352,10352,10347,5,0,0,0,0,0,0,0,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",12,337662,337662,253730,83932,0,141482,141482,137557,3925,0,40939,40939,40939,0,0,155241,155241,75234,80007,79659,0,"New Orleans, LA"
"New York, NY",6,7599546,7538009,6849501,688508,61537,5186338,5186338,4754924,431414,0,741203,741203,623065,118138,0,1672005,1610468,1471512,138956,131327,61537,"New York, NY"
"Oakland, CA",6,217415,217415,215572,1843,0,210945,210945,209102,1843,0,6470,6470,6470,0,0,0,0,0,0,0,0,"Oakland, CA"
