"Monroe, NY",266,227,244,38.1,1388,5844,426,383,397,61.9,1768
"Montgomery, MD",1782,1605,1680,72.9,11256,6860,715,551,624,27.1,3428
"Montgomery, OH",209,209,209,39.6,1172,5607,319,319,319,60.4,1245
"Montgomery, PA",102,102,102,43.2,341,3342,135,133,134,56.8,640
"Multnomah, OR",95,92,92,36.4,723,7843,168,157,161,63.6,774
"Nassau, NY",2229,2229,2229,69.7,21606,9693,1205,762,967,30.3,4815
,,,,,,,,,,,
"Norfolk, MA",0,0,0,-,0,-,0,0,0,-,0
"Oakland, MI",388,374,381,68.4,2140,5581,208,156,176,31.6,767
"Oklahoma, OK",208,179,189,73,671,3641,70,70,70,27,181
"Orange, CA",2885,2867,2876,93.5,19437,6760,210,197,199,6.5,909
"Orange, FL",1250,1250,1250,62.9,5949,4759,935,647,736,37.1,2736
"Palm Beach, FL",1313,1301,1308,56.2,9671,7406,1176,847,1021,43.8,5213
"Pima, AZ",725,711,718,77.1,3558,4961,218,209,213,22.9,805
,,,,,,,,,,,
"Pinellas, FL",641,638,640,53.6,3631,5680,673,521,554,46.4,2265
"Prince Georges, MD",1579,1452,1530,62.5,10768,7271,919,903,918,37.5,5696
"Riverside, CA",2111,2097,2104,95.6,16999,8082,97,97,97,4.4,643
"Sacramento, CA",1006,862,969,70.7,8795,9683,410,388,401,29.3,2292
"St. Louis, MO",882,876,879,80,4078,4641,223,216,220,20,949
"Salt Lake, UT",429,428,428,65.5,2133,4983,459,147,225,34.5,683
"San Bernardino, CA",1165,1135,1148,61.9,9593,8389,719,699,708,38.1,3406
,,,,,,,,,,,
"San Diego, CA",1285,1217,1253,44.2,8815,6888,1613,1564,1581,55.8,7306
"San Mateo, CA",300,285,297,64.3,3458,11966,168,142,165,35.7,791
"Santa Clara, CA",432,432,432,62.2,4222,9774,291,215,262,37.8,1481
"Shelby, TN",510,497,504,54.5,2192,4367,441,407,420,45.5,1416
"Suffolk, NY",2614,2613,2613,75.2,24313,9304,1111,667,860,24.8,3815
"Summit, OH",184,176,182,79.8,827,4605,48,45,46,20.2,118
,,,,,,,,,,,
"Tarrant, TX",454,449,453,61.4,1821,4027,286,285,285,38.6,1026
"Travis, TX",613,613,613,90.1,3463,5648,67,67,67,9.9,242
"Union, NJ",58,58,58,57.4,515,8887,50,35,43,42.6,297
"Ventura, CA",515,496,506,70.1,4996,10013,226,209,216,29.9,1489
"Wayne, MI",206,206,206,78.3,1037,5036,59,56,57,21.7,307
"Westchester, NY",258,181,244,64.2,2904,11933,138,135,136,35.8,859
Note: Payroll data shown here may not sum to equal police protection March payroll data in table 13 due to rounding.,,,,,,,,,,,
